Frase 1,Frase 2,Imagen,Enviado,IdImplementacion
Ser suave también es ser fuerte.,El silencio también habla.,post_001,2025-03-24T14:25:10.956Z,AKfycbwwQtvJN6Zj46OJ7eOKoIAWmak-Y08WI3oC1rV-0r2yaa17sFaThhAbeOiaHo1eQq-j5w
Tu presencia ya es suficiente.,Respira lento. Todo pasa.,post_002,,
Nadie lo tiene todo claro. Y está bien.,Permítete sentir sin culpa.,post_003,,
Eres suficiente, incluso cuando dudas.,,,
Respira. Estás aquí. Eso ya es valiente.,Hoy,,,
Estás haciendo lo mejor que puedes.,Mereces ternura,,,
Hoy no tienes que arreglarlo todo.,Eres más que tus pendientes.,,,
Tu valor no depende de tu productividad.,A veces,,,
Hoy puedes elegir la calma.,Cuídate como cuidarías a alguien que amas.,,,
Nadie lo tiene todo claro. Y está bien.,El silencio también habla.,,,
Hoy no tienes que arreglarlo todo.,Confía en tu proceso.,,,
No estás rota, solo estás cansada.,,,
Puedes parar. El mundo no se va a caer.,Solo respirar.,,,
Respira. Estás aquí. Eso ya es valiente.,Tu paz es una prioridad.,,,
Puedes empezar de nuevo, incluso ahora.,,,
Puedes parar. El mundo no se va a caer.,Hoy puedes simplemente estar.,,,
Hoy puedes elegir la calma.,Solo respirar.,,,
Nadie lo tiene todo claro. Y está bien.,Cuídate como cuidarías a alguien que amas.,,,
A veces sobrevivir también es un logro.,Permítete sentir sin culpa.,,,
Puedes parar. El mundo no se va a caer.,Tu paz es una prioridad.,,,
Nadie lo tiene todo claro. Y está bien.,La calma también se entrena.,,,
Estás a salvo en ti.,Suelta lo que no puedes controlar.,,,
Estás a salvo en ti.,Tu paz es una prioridad.,,,
Puedes parar. El mundo no se va a caer.,No eres menos por ir despacio.,,,
Tu presencia ya es suficiente.,Agradece lo que sí está en calma.,,,
Puedes parar. El mundo no se va a caer.,Eres más que tus pendientes.,,,
Ser suave también es ser fuerte.,No estás sola en esto.,,,
Tu valor no depende de tu productividad.,Tu paz es una prioridad.,,,
Hoy puedes elegir la calma.,Eres más que tus pendientes.,,,
No necesitas complacer a todos.,La calma también se entrena.,,,
Hoy no tienes que arreglarlo todo.,Eres más que tus pendientes.,,,
No tienes que ser fuerte todo el tiempo.,Confía en tu proceso.,,,
Tu valor no depende de tu productividad.,La calma también se entrena.,,,
Tu presencia ya es suficiente.,Mereces tu propia paciencia.,,,
No necesitas complacer a todos.,Respira lento. Todo pasa.,,,
Estás a salvo en ti.,Suelta lo que no puedes controlar.,,,
Sentir mucho no es una debilidad.,Mereces ternura,,,
Estás haciendo lo mejor que puedes.,Darte un respiro no es rendirse.,,,
Estás aprendiendo. Eso basta.,Tu paz es una prioridad.,,,
Ser suave también es ser fuerte.,Agradece lo que sí está en calma.,,,
Nadie lo tiene todo claro. Y está bien.,Confía en tu proceso.,,,
Respira. Estás aquí. Eso ya es valiente.,Darte un respiro no es rendirse.,,,
No estás rota, solo estás cansada.,,,
Eres suficiente, incluso cuando dudas.,,,
No estás rota, solo estás cansada.,,,
Eres suficiente, incluso cuando dudas.,,,
No todo lo que pesa es tuyo.,A veces,,,
Hoy puedes elegir la calma.,Agradece lo que sí está en calma.,,,
Tu presencia ya es suficiente.,Vuelve a ti. Poco a poco.,,,
Puedes parar. El mundo no se va a caer.,Cuídate como cuidarías a alguien que amas.,,,
No estás rota, solo estás cansada.,,,
Puedes empezar de nuevo, incluso ahora.,,,
Respira. Estás aquí. Eso ya es valiente.,Solo respirar.,,,
No tienes que ser fuerte todo el tiempo.,Vuelve a ti. Poco a poco.,,,
No tienes que ser fuerte todo el tiempo.,A veces,,,
No estás rota, solo estás cansada.,,,
Puedes empezar de nuevo, incluso ahora.,,,
No todo lo que pesa es tuyo.,El silencio también habla.,,,
Hoy no tienes que arreglarlo todo.,Permítete sentir sin culpa.,,,
No todo lo que pesa es tuyo.,Agradece lo que sí está en calma.,,,
Estás aprendiendo. Eso basta.,Suelta lo que no puedes controlar.,,,
Sentir mucho no es una debilidad.,Cuídate como cuidarías a alguien que amas.,,,
Nadie lo tiene todo claro. Y está bien.,Solo respirar.,,,
A veces sobrevivir también es un logro.,Solo respirar.,,,
No necesitas tener todas las respuestas.,Mereces ternura,,,
Ser suave también es ser fuerte.,Cuídate como cuidarías a alguien que amas.,,,
Sentir mucho no es una debilidad.,A veces,,,
Nadie lo tiene todo claro. Y está bien.,Hoy puedes simplemente estar.,,,
Tu valor no depende de tu productividad.,Permítete sentir sin culpa.,,,
Sentir mucho no es una debilidad.,Suelta lo que no puedes controlar.,,,
No tienes que ser fuerte todo el tiempo.,No estás sola en esto.,,,
Tu presencia ya es suficiente.,Confía en tu proceso.,,,
No estás rota, solo estás cansada.,,,
Tu presencia ya es suficiente.,A veces,,,
Hoy puedes elegir la calma.,Hoy,,,
No todo lo que pesa es tuyo.,Solo respirar.,,,
